t=2026-04-08T09:50:20+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-08T09:50:20+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-04-08T09:50:20+0530 lvl=info msg="open config file" path=C:\\Users\\patil\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-04-08T09:50:20+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-08T09:50:20+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-08T09:50:20+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-08T09:50:20+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=9a93377ca346 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:37+0530 lvl=info msg="join connections" obj=join id=71cc51cf8b70 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:39+0530 lvl=info msg="join connections" obj=join id=6218c8b25d63 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:42+0530 lvl=info msg="join connections" obj=join id=708b82f25f66 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:43+0530 lvl=info msg="join connections" obj=join id=0674835f5fb7 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:43+0530 lvl=info msg="join connections" obj=join id=56125a332353 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:47+0530 lvl=info msg="join connections" obj=join id=ac7ffdbf1604 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:55:57+0530 lvl=info msg="join connections" obj=join id=493819eaba22 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:56:04+0530 lvl=info msg="join connections" obj=join id=e2ad3e8dd007 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:56:07+0530 lvl=info msg="join connections" obj=join id=3b70ddf280af l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:56:17+0530 lvl=info msg="join connections" obj=join id=8580f3c47f76 l=[::1]:5173 r=[2401:4900:88cb:5f82:b9df:a273:c59a:7e80]:53327
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=caf4a98b2676 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=86469ee84b14 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=5933f8e40620 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=83255c104cba l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=ad5afe8bfdb9 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=f32e666891d4 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
t=2026-04-08T09:56:20+0530 lvl=info msg="join connections" obj=join id=69219927d074 l=[::1]:5173 r=[2401:4900:88cb:5f82:6810:bca0:ecb2:224e]:52043
